bin,red hind,french grunt
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0.02359930557121277
9,0,0
10,0.005469505040362878,0.007866435190404256
11,0,0.005244290126936171
12,0.0072081770550026965,0.010696171875798959
13,6.393821955339778e-4,0.031465740761617025
14,6.393821955339778e-4,0.04913245853993944
15,0.0023780542101737964,0.0640586673707737
16,0.009586231265176492,0.1183297928537509
17,0.01306357529445613,0.2572628691589704
18,0.020451226921420942,0.14308835177455698
19,0.01306357529445613,0.05632161928579307
20,0.032563541245733844,0.08521451121613456
21,0.03519508445235107,0.01736635356683606
22,0.05508094360271933,0.03712521413240644
23,0.03583446664788504,0.023806897193139387
24,0.04240326150735376,0.005244290126936171
25,0.0386724284816307,0.03229610724932349
26,0.013956446486433531,0.02139234375159792
27,0.038925917478074126,0
28,0.023542677751610022,0
29,0.025994746386265127,0
30,0.11762355325688478,0.010488580253872342
31,0.028626289592882343,0
32,0.05322168408535326,0
33,0.024895456567159288,0
34,0.04066458949271395,0
35,0.04418119156815082,0
36,0.05469505040362878,0
37,0.03281703024217727,0
38,0.06627344267988851,0
39,0.005629350589246373,0
40,0.024895456567159288,0
41,0.021878020161451513,0
42,0.028626289592882343,0
43,0.017047897316622613,0
44,0.011578392276259734,0
45,0.0072081770550026965,0
46,0,0
47,0,0
48,0.005469505040362878,0
