MASTER_SAMPLE_CD,SPECIES_CD,NUMBER_OF_INDIVIDUALS,AVERAGE_LENGTH,MIN_LENGTH,MAX_LENGTH,TIME_SEEN
A2021092213040163,SPA AURO,6,4,3,4,1
A2021092213040163,SPA AURO,3,11,10,14,1
A2021092213040163,BAL VETU,1,28,,,1
A2021092213040163,EPI GUTT,1,16,,,1
A2021092213040163,HYP PUEL,1,10,,,1
A2021092310470163,SPA AURO,4,5,4,8,1
A2021092310470163,BAL VETU,2,,28,29,1
A2021092310470163,EPI GUTT,1,28,,,1
A2021092310470163,HAL GARN,2,,5,11,1
A2021092313050163,BAL VETU,9,36,34,38,1
A2021092313050163,ANI VIRG,4,27,25,30,1
A2021092313050163,HAL GARN,8,4,4,5,1
A2021092313050163,HAL GARN,4,10,10,12,1
A2021092313050163,LUT GRIS,12,28,27,32,1
A2021092313050163,SPA AURO,12,5,4,6,1
A2021092313050163,SPA AURO,10,15,14,16,1
A2021092313050163,HAE FLAV,12,18,17,20,1
A2021092313050163,CHA CAPI,2,,10,10,1
A2021092313050163,HYP PUEL,1,10,,,3
A2021092711530163,HAL GARN,2,,7,8,1
A2021092711530163,HYP PUEL,1,7,,,1
A2021092714010163,SPA AURO,6,4,4,5,1
A2021092714010163,SPA AURO,8,17,14,25,1
A2021092714010163,HAE FLAV,9,18,17,20,1
A2021092714010163,HAL GARN,8,5,4,6,1
A2021092714010163,HAL GARN,1,13,,,1
A2021092714010163,CHA CAPI,1,9,,,1
A2021092714010163,BAL VETU,1,23,,,1
A2021092714010163,HYP PUEL,1,7,,,2
A2021092714010163,EPI GUTT,1,18,,,3
A2021092811040163,HAE FLAV,5,17,16,19,1
A2021092811040163,EPI GUTT,2,,28,35,1
A2021092811040163,CHA CAPI,1,9,,,1
A2021092811040163,SPA AURO,1,12,,,1
A2021092811040163,HAL GARN,1,6,,,3
A2021092813200163,SPA AURO,6,15,13,20,1
A2021092813200163,HAL GARN,4,5,5,6,1
A2021092813200163,CHA CAPI,2,,10,10,1
A2021092813200163,ANI VIRG,1,24,,,1
A2021092813200163,EPI GUTT,1,33,,,3
A2021100110190163,SPA AURO,2,,8,8,1
A2021100110190163,SPA AURO,5,15,14,16,1
A2021100110190163,EPI GUTT,1,33,,,1
A2021100112280163,SPA AURO,3,5,5,6,1
A2021100112280163,SPA AURO,6,16,15,18,1
A2021100112280163,HYP PUEL,2,,6,8,1
A2021100112280163,HAL GARN,7,4,4,5,1
A2021100112280163,HAL GARN,2,,10,13,1
A2021100112280163,HAE FLAV,2,,17,18,1
A2021100112280163,BAL VETU,1,28,,,1
A2021102011180163,HAL GARN,3,10,4,10,1
A2021102011180163,BAL VETU,3,30,27,32,1
A2021102011180163,SPA AURO,1,5,,,1
A2021102011180163,SPA AURO,3,10,10,12,1
A2021102011180163,HAE FLAV,1,18,,,2
A2021102011180163,EPI GUTT,1,23,,,2
A2021102013170163,SPA AURO,1,17,,,1
A2021102013170163,HAE FLAV,3,16,14,17,1
A2021102013170163,HAL GARN,3,3,2,5,1
A2021102013170163,HAL GARN,2,,10,12,1
A2021102013170163,CHA CAPI,2,,10,10,2
A2021102111400163,HAL GARN,4,12,11,12,1
A2021102111400163,SPA AURO,6,15,14,17,1
A2021102111400163,HAE FLAV,1,19,,,1
A2021102111400163,EPI GUTT,2,,35,37,2
A2021102113510163,HAL GARN,2,,10,10,1
A2021102113510163,SPA AURO,6,16,15,17,1
A2021102113510163,HAE FLAV,1,17,,,1
A2021102113510163,EPI GUTT,1,27,,,2
A2021110211110163,SPA AURO,8,17,15,20,1
A2021110211110163,HAL GARN,2,,6,12,1
A2021110211110163,CHA CAPI,1,9,,,1
A2021110211110163,HAE FLAV,1,17,,,1
A2021110211110163,EPI GUTT,1,34,,,3
A2021110213070163,HAL GARN,3,5,4,5,1
A2021110213070163,HAL GARN,2,,12,14,1
A2021110213070163,SPA AURO,10,4,4,5,1
A2021110213070163,SPA AURO,12,13,12,15,1
A2021110213070163,CHA CAPI,1,10,,,1
A2021110213070163,EPI GUTT,2,,27,31,1
A2021110213070163,BAL VETU,1,33,,,1
A2021110213070163,HAE FLAV,1,18,,,3
A2021062512160362,HAL RADI,2,,10,12,1
A2021062512160362,HAL RADI,3,17,15,25,1
A2021062512160362,HAL GARN,2,,11,14,1
A2021062512160362,HAL GARN,8,6,3,10,1
A2021062512160362,SPA AURO,6,5,5,7,1
A2021062512160362,SPA AURO,2,,20,23,1
A2021062512160362,HAE FLAV,3,19,19,22,1
A2021062512160362,CHA CAPI,2,,9,10,1
A2021061414350364,SPA AURO,5,6,5,8,1
A2021061414350364,SPA AURO,4,15,14,18,1
A2021061414350364,HAL GARN,6,10,8,11,1
A2021061414350364,HAL GARN,10,3,2,4,1
A2021061414350364,HAL RADI,2,,5,11,2
A2021061414350364,CHA CAPI,1,6,,,3
A2021080913110467,SPA AURO,5,15,11,19,1
A2021080913110467,HAL GARN,6,7,6,15,1
A2021080913110467,EPI GUTT,1,29,,,1
A2021080913110467,CHA CAPI,2,,10,11,1
A2021061713160066,SPA AURO,4,15,15,24,1
A2021061713160066,SPA AURO,1,3,,,1
A2021081113570441,CHA CAPI,2,,5,5,1
A2021081113570441,EPI GUTT,1,21,,,1
A2021081113570441,SPA AURO,1,17,,,2
A2021081113570441,HAL GARN,3,7,7,17,3
